participant_id,team_id,champion_id,spell1,spell2,role,lane,is_win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largest_killing_pree,largest_multikill,killing_sprees,longest_time_spent_living,doublekills,triplekills,quadrakills,pentakills,unrealkills,total_damage_dealt,magic_damage_dealt,physical_damage_dealt,true_damage_dealt,largest_critical_strike,total_damage_dealt_to_champions,magic_damage_dealt_to_champions,physical_damage_dealt_to_champions,true_damage_dealt_to_champions,total_heal,total_units_healed,damage_self_mitigated,damage_dealt_to_objectives,damage_dealt_to_turrets,vision_score,time_ccing_others,total_damage_taken,magical_damage_taken,physical_damage_taken,true_damage_taken,gold_earned,gold_spent,turret_kills,inhibitor_kills,total_minions_killed,neutral_minions_killed,neutral_minions_killed_team_jungle,neutral_minions_killed_enemy_jungle,total_time_cc_dealt,champ_level,vision_wards_brought_in_game,sight_wards_brought_in_game,wards_placed,wards_killed,is_first_blood_kill,is_first_blood_assist,is_first_tower_kill,is_first_tower_assist,combat_player_score,objective_player_score,total_player_score,total_score_rank,player_score0,player_score1,player_score2,player_score3,player_score4,player_score5,player_score6,player_score7,player_score8,player_score9,perk0,perk0_var1,perk0_var2,perk0_var3,perk1,perk1_var1,perk1_var2,perk1_var3,perk2,perk2_var1,perk2_var2,perk2_var3,perk3,perk3_var1,perk3_var2,perk3_var3,perk4,perk4_var1,perk4_var2,perk4_var3,perk5,perk5_var1,perk5_var2,perk5_var3,perk_primary_style,perl_sub_style,stat_perk0,stat_perk1,stat_perk2,game_id,platform_id,account_id,summoner_name,summoner_id,current_platform_id,current_account_id,match_history_url,profile_icon
1,100,17,14,4,NONE,JUNGLE,False,3165,6653,1058,3006,1058,0,3340,5.0,9.0,2.0,3.0,1.0,2.0,851.0,0.0,0.0,0.0,0.0,0.0,126602.0,88583.0,28123.0,9895.0,0.0,26392.0,22288.0,3439.0,664.0,1722.0,1.0,8738.0,19842.0,5862.0,15.0,41.0,21650.0,8347.0,12338.0,963.0,10905.0,12725.0,1.0,0.0,137.0,12.0,12.0,0.0,487.0,13.0,1.0,0.0,9.0,1.0,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8005.0,889.0,585.0,304.0,8009.0,1139.0,0.0,0.0,9104.0,18.0,0.0,0.0,8017.0,843.0,0.0,0.0,8446.0,1240.0,0.0,0.0,8242.0,166.0,0.0,0.0,8000.0,8400.0,5005.0,5008.0,5002.0,3659506474.0,NA1,LQZzvXEKeLjrTIO8vQQOTxDEv_JuqdepyoBkBFDb47N5iHo,1Gargoyle,D9xRyK-YIeeG3AWlV1hF-jMww1x5nBtjTK3OW8_bH7t1Ph0,NA1,LQZzvXEKeLjrTIO8vQQOTxDEv_JuqdepyoBkBFDb47N5iHo,/v1/stats/player_history/NA1/201443126,4594
2,100,110,12,4,DUO_CARRY,BOTTOM,False,1055,3006,3153,6673,6677,1018,3340,4.0,5.0,3.0,2.0,1.0,1.0,916.0,0.0,0.0,0.0,0.0,0.0,95066.0,5143.0,74213.0,15710.0,321.0,13807.0,1775.0,12031.0,0.0,1278.0,1.0,4598.0,2178.0,60.0,14.0,30.0,11571.0,5991.0,5071.0,508.0,9686.0,9450.0,0.0,0.0,117.0,0.0,0.0,0.0,147.0,13.0,0.0,0.0,8.0,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8008.0,2.0,40.0,0.0,9111.0,372.0,140.0,0.0,9104.0,25.0,20.0,0.0,8014.0,267.0,0.0,0.0,8304.0,11.0,1.0,5.0,8345.0,3.0,0.0,0.0,8000.0,8300.0,5005.0,5008.0,5002.0,3659506474.0,NA,KD9qc0gtwHOt_TyhCHl9EOTh1CkfEuqVrMCG2sL5TpfSUw,Flash freeZ,gxEW7gW2QFoPi_vx779qsPx_B0lUaY8IyNKtH94A8KyDJt4,NA1,KD9qc0gtwHOt_TyhCHl9EOTh1CkfEuqVrMCG2sL5TpfSUw,/v1/stats/player_history/NA/35006621,28
3,100,254,11,4,NONE,JUNGLE,False,3078,2031,3111,3155,3133,0,3340,2.0,6.0,4.0,0.0,1.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,110011.0,5991.0,94581.0,9438.0,0.0,8446.0,0.0,8105.0,341.0,7557.0,1.0,21517.0,13686.0,0.0,29.0,19.0,24391.0,8055.0,15195.0,1140.0,8106.0,7558.0,0.0,0.0,19.0,95.0,72.0,0.0,249.0,13.0,3.0,0.0,13.0,2.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9923.0,31.0,79.0,0.0,8143.0,257.0,0.0,0.0,8138.0,7.0,0.0,0.0,8105.0,13.0,5.0,0.0,9111.0,180.0,120.0,0.0,9104.0,22.0,40.0,0.0,8100.0,8000.0,5005.0,5008.0,5002.0,3659506474.0,NA1,GulG85dY_3w0jZShNe9wRCB6qp7VjzZ-KgkHnrKbu30Dt2D5MkRJoMck,2runkz,UN0TpZgr7ebP5yTDy9XGV6jG35FS20Hw5Dz47RBX68bLcxgj,NA1,GulG85dY_3w0jZShNe9wRCB6qp7VjzZ-KgkHnrKbu30Dt2D5MkRJoMck,/v1/stats/player_history/NA1/2383020604893408,7
4,100,54,14,4,SOLO,MIDDLE,False,6653,1056,3111,4629,4632,3108,3340,8.0,7.0,4.0,3.0,2.0,2.0,554.0,1.0,0.0,0.0,0.0,0.0,76011.0,47470.0,22818.0,5722.0,0.0,15092.0,11894.0,2639.0,558.0,2612.0,1.0,21652.0,6395.0,1085.0,21.0,27.0,21922.0,10381.0,8733.0,2807.0,10725.0,10400.0,0.0,0.0,116.0,0.0,0.0,0.0,413.0,14.0,2.0,0.0,12.0,2.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8229.0,1275.0,0.0,0.0,8226.0,250.0,478.0,0.0,8210.0,11.0,0.0,0.0,8237.0,386.0,0.0,0.0,8139.0,844.0,0.0,0.0,8106.0,5.0,0.0,0.0,8200.0,8100.0,5008.0,5008.0,5003.0,3659506474.0,NA1,Ao8jEZ6APWNHTyOWU47nYtzIDy76OGJlQvWy98uRdWZ5UEoT3GM0eMC3,Mistress Ching,AuMM_zZimwhc9aQEMh028VQajvLDkI-phrPVnoLWFU5pLkNV,NA1,Ao8jEZ6APWNHTyOWU47nYtzIDy76OGJlQvWy98uRdWZ5UEoT3GM0eMC3,/v1/stats/player_history/NA1/2379770624207584,1425
5,100,99,14,4,DUO_SUPPORT,BOTTOM,False,3853,6655,3011,3020,0,0,3364,0.0,5.0,8.0,0.0,0.0,0.0,765.0,0.0,0.0,0.0,0.0,0.0,72659.0,59165.0,6819.0,6674.0,0.0,16463.0,14423.0,546.0,1494.0,892.0,1.0,5003.0,686.0,0.0,62.0,59.0,10180.0,4341.0,5559.0,279.0,7986.0,7450.0,0.0,0.0,54.0,0.0,0.0,0.0,288.0,12.0,2.0,0.0,30.0,3.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8229.0,2000.0,0.0,0.0,8226.0,250.0,738.0,0.0,8234.0,8694.0,0.0,0.0,8237.0,627.0,0.0,0.0,8473.0,419.0,0.0,0.0,8453.0,147.0,191.0,0.0,8200.0,8400.0,5008.0,5008.0,5002.0,3659506474.0,NA1,uEzrwKS8PLeLwsyqI_Pa2FQOIKCDY8OATzSHc4ZfAMvB7LXtHvT8plU7,washhandsfor30s,9r3C_5oEMsilf-fZc0VNtjdmn0CR3O9i9tgdGFJwyMuprVHv,NA1,uEzrwKS8PLeLwsyqI_Pa2FQOIKCDY8OATzSHc4ZfAMvB7LXtHvT8plU7,/v1/stats/player_history/NA1/2426478387570784,1438
6,200,142,4,14,SOLO,MIDDLE,True,2055,3020,3089,3916,6655,1026,3340,10.0,4.0,8.0,4.0,3.0,3.0,698.0,1.0,1.0,0.0,0.0,0.0,114292.0,88325.0,13009.0,12957.0,287.0,29903.0,23895.0,1428.0,4578.0,5027.0,1.0,7727.0,10104.0,4040.0,33.0,52.0,18142.0,11314.0,6653.0,174.0,12215.0,10975.0,0.0,1.0,123.0,0.0,0.0,0.0,187.0,15.0,7.0,0.0,16.0,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8112.0,1442.0,0.0,0.0,8143.0,702.0,0.0,0.0,8120.0,3.0,30.0,9.0,8135.0,3349.0,5.0,0.0,8275.0,23.0,0.0,0.0,8210.0,20.0,0.0,0.0,8100.0,8200.0,5008.0,5008.0,5003.0,3659506474.0,NA1,oYatVNN-YkHzIvxA_GbpH4K-uiqnIfrJYLJI3LDx5FtNQlG5_RdVm3xI,rickyyytan,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa,NA1,oYatVNN-YkHzIvxA_GbpH4K-uiqnIfrJYLJI3LDx5FtNQlG5_RdVm3xI,/v1/stats/player_history/NA1/2350503162267744,1451
7,200,53,4,3,DUO_SUPPORT,BOTTOM,True,6664,3860,3050,3111,1011,1033,3364,4.0,4.0,12.0,2.0,1.0,1.0,555.0,0.0,0.0,0.0,0.0,0.0,28696.0,15718.0,8273.0,4703.0,0.0,9487.0,6425.0,2849.0,212.0,3482.0,1.0,25986.0,2878.0,352.0,51.0,38.0,24834.0,13025.0,10910.0,898.0,9647.0,8525.0,2.0,0.0,34.0,1.0,0.0,1.0,197.0,14.0,1.0,0.0,20.0,2.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8351.0,23.0,0.0,0.0,8313.0,0.0,0.0,0.0,8345.0,3.0,0.0,0.0,8347.0,0.0,0.0,0.0,8451.0,203.0,0.0,0.0,8444.0,2290.0,0.0,0.0,8300.0,8400.0,5007.0,5002.0,5001.0,3659506474.0,NA,0JA8UsbCvRNFYMRh1rRmK7J5iodoAqCzXp3S-TovVyiwzg,Dopine,G3RhyYVpf4YKE0OX14KGFngLVthbrqrvpXKCfzRtnaZF-a8,NA1,0JA8UsbCvRNFYMRh1rRmK7J5iodoAqCzXp3S-TovVyiwzg,/v1/stats/player_history/NA/36934886,4793
8,200,67,7,4,DUO_CARRY,BOTTOM,True,1055,6673,0,3046,3031,3006,3364,5.0,2.0,6.0,4.0,1.0,1.0,1423.0,0.0,0.0,0.0,0.0,0.0,187240.0,0.0,161901.0,25338.0,615.0,11262.0,0.0,10648.0,613.0,6131.0,4.0,11317.0,11353.0,8090.0,33.0,8.0,21409.0,7524.0,13317.0,567.0,14461.0,11900.0,2.0,0.0,227.0,48.0,12.0,22.0,81.0,17.0,8.0,0.0,15.0,6.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8021.0,2145.0,0.0,0.0,9111.0,160.0,220.0,0.0,9104.0,18.0,50.0,0.0,8014.0,281.0,0.0,0.0,8275.0,8.0,0.0,0.0,8236.0,28.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5002.0,3659506474.0,NA1,fUZTuSwYnVCvEyz7639LR7XGQUx63ljqO5gWCRS9-zBy4l4Pd8TVeELX,DWG ShoeMaker1,MlQyTX2v_yuD94hDHemyxXzh9M5-glJINz4MAIt5D0p24TSU,NA1,fUZTuSwYnVCvEyz7639LR7XGQUx63ljqO5gWCRS9-zBy4l4Pd8TVeELX,/v1/stats/player_history/NA1/2486351492851136,4626
9,200,33,14,4,SOLO,TOP,True,1057,3068,3111,3076,3066,0,3340,1.0,5.0,8.0,0.0,1.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,46202.0,28233.0,11373.0,6596.0,0.0,3391.0,2342.0,932.0,116.0,2466.0,1.0,20059.0,3653.0,704.0,19.0,12.0,17116.0,9059.0,7468.0,588.0,8698.0,7025.0,1.0,1.0,44.0,13.0,4.0,1.0,267.0,12.0,1.0,0.0,10.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8229.0,461.0,0.0,0.0,8226.0,250.0,100.0,0.0,8210.0,0.0,0.0,0.0,8236.0,28.0,0.0,0.0,8138.0,10.0,0.0,0.0,8105.0,11.0,4.0,0.0,8200.0,8100.0,5008.0,5008.0,5001.0,3659506474.0,NA1,5VFO4-HgbpGF4GtzU_IXM3HO4o0kCdK_uMNEw3YWGNJ20lp3nunc76BW,AsphaltAsparagus,-vUf7vuB8BjkLyJNowac2NftTfyiGnfYwu5HZVkK9xRo0S2O,NA1,5VFO4-HgbpGF4GtzU_IXM3HO4o0kCdK_uMNEw3YWGNJ20lp3nunc76BW,/v1/stats/player_history/NA1/2398630031706400,3539
10,200,24,4,11,NONE,JUNGLE,True,2031,3053,1042,3153,3111,3078,3364,12.0,4.0,2.0,4.0,2.0,4.0,651.0,2.0,0.0,0.0,0.0,0.0,129544.0,25093.0,94529.0,9921.0,0.0,13391.0,2525.0,10685.0,180.0,15871.0,1.0,19566.0,31137.0,1072.0,24.0,8.0,31804.0,12931.0,18042.0,830.0,13096.0,11433.0,1.0,0.0,28.0,117.0,80.0,3.0,161.0,15.0,0.0,0.0,6.0,5.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,84.0,0.0,0.0,9111.0,879.0,280.0,0.0,9104.0,16.0,50.0,0.0,8014.0,531.0,0.0,0.0,8143.0,466.0,0.0,0.0,8135.0,5512.0,5.0,0.0,8000.0,8100.0,5005.0,5008.0,5002.0,3659506474.0,NA1,Wk1STSxsVYCTJwyZWVAIhnlDSs6kY6zevdhHKCUBghUA7AOaCXIycA8s,MasterFiera25,GbW_tjfxgRYMqF0sdneF6fERXY-L8z7djv15QB9L6_ruWMB_,NA1,Wk1STSxsVYCTJwyZWVAIhnlDSs6kY6zevdhHKCUBghUA7AOaCXIycA8s,/v1/stats/player_history/NA1/2097886528547744,4787
1,100,37,4,14,NONE,JUNGLE,True,6655,1001,3114,3853,1026,0,3364,2.0,4.0,6.0,0.0,1.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,17519.0,13778.0,2998.0,742.0,0.0,7581.0,5533.0,1306.0,742.0,5026.0,4.0,4411.0,2642.0,1942.0,25.0,12.0,9064.0,3019.0,5930.0,114.0,6169.0,6250.0,1.0,0.0,8.0,4.0,4.0,0.0,42.0,10.0,0.0,0.0,13.0,3.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8214.0,417.0,1286.0,0.0,8226.0,250.0,470.0,0.0,8234.0,6264.0,0.0,0.0,8236.0,24.0,0.0,0.0,8463.0,131.0,0.0,0.0,8453.0,444.0,626.0,0.0,8200.0,8400.0,5008.0,5008.0,5002.0,3659470093.0,NA1,brgKBA63fLxe2DQuINY5DGZF_BnyjRBElV17VQ14bzdbLQ,Lifeofmine,9K-7nvbsn-XPKMif6ZjYh1fkuPg4d6yq5WVSIUOL4gcAtbI,NA1,brgKBA63fLxe2DQuINY5DGZF_BnyjRBElV17VQ14bzdbLQ,/v1/stats/player_history/NA1/43986540,3868
2,100,238,4,14,SOLO,MIDDLE,True,3047,6693,3134,1037,0,0,3340,4.0,3.0,6.0,2.0,1.0,1.0,320.0,0.0,0.0,0.0,0.0,0.0,81235.0,4288.0,74525.0,2422.0,0.0,6364.0,273.0,5948.0,142.0,1764.0,1.0,4729.0,11692.0,4156.0,12.0,2.0,10002.0,4670.0,5069.0,262.0,8289.0,6700.0,2.0,0.0,117.0,4.0,0.0,0.0,55.0,13.0,1.0,0.0,6.0,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8112.0,459.0,0.0,0.0,8139.0,806.0,0.0,0.0,8138.0,18.0,0.0,0.0,8106.0,3.0,0.0,0.0,9111.0,388.0,200.0,0.0,8014.0,183.0,0.0,0.0,8100.0,8000.0,5008.0,5008.0,5003.0,3659470093.0,NA1,s-DIXM0S13u9eYkYcPG2WkDCV8vVqtTHpfwccYHkIE6y9g,OMGItsABobTree,XOrfH7SXzwg7EHDK6KzLeWK3gj8K7WOXggO-csAeyqknyd0,NA1,s-DIXM0S13u9eYkYcPG2WkDCV8vVqtTHpfwccYHkIE6y9g,/v1/stats/player_history/NA1/50258931,657
3,100,154,11,4,NONE,JUNGLE,True,3068,2031,0,2422,1029,0,3340,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59142.0,40629.0,12115.0,6397.0,0.0,3374.0,2528.0,613.0,231.0,14302.0,4.0,8191.0,11726.0,0.0,11.0,16.0,13203.0,2793.0,10211.0,198.0,5392.0,4000.0,0.0,0.0,9.0,62.0,43.0,2.0,208.0,10.0,0.0,0.0,6.0,1.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8439.0,263.0,0.0,0.0,8463.0,328.0,0.0,0.0,8429.0,42.0,15.0,14.0,8451.0,33.0,0.0,0.0,8304.0,9.0,4.0,5.0,8347.0,0.0,0.0,0.0,8400.0,8300.0,5007.0,5003.0,5003.0,3659470093.0,NA1,SLYDs5WI-R-zPCtEHFOGc9lNG02wP2tjrh_09MuAQkmXcck,Z3alousy,M6ox3bhV1qI8rm0Knf_WgBjABekHGIOv3nGeXWq58GgzhiA,NA1,SLYDs5WI-R-zPCtEHFOGc9lNG02wP2tjrh_09MuAQkmXcck,/v1/stats/player_history/NA1/234090501,4777
4,100,114,4,12,NONE,JUNGLE,True,3047,6631,1028,3074,1057,3051,3364,20.0,4.0,2.0,9.0,2.0,4.0,439.0,2.0,0.0,0.0,0.0,0.0,77420.0,1673.0,66216.0,9530.0,479.0,20941.0,732.0,15800.0,4408.0,11028.0,4.0,18531.0,4034.0,4034.0,10.0,14.0,23950.0,4493.0,19008.0,447.0,11642.0,10675.0,1.0,0.0,88.0,10.0,0.0,10.0,137.0,14.0,1.0,0.0,5.0,1.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,656.0,0.0,0.0,9111.0,1594.0,440.0,0.0,9105.0,9.0,10.0,0.0,8299.0,686.0,0.0,0.0,8446.0,1038.0,0.0,0.0,8473.0,697.0,0.0,0.0,8000.0,8400.0,5005.0,5008.0,5002.0,3659470093.0,NA1,JKhGaGYZKLZ_0KfY-oREnwvJge9sfJwxs1FdFh3TUZuU1LmAPyvyDzDZ,SanguineWav3,3ZcHY0XYrt_uWiOy2mQEV2I4oHs5CEIX0KEdmfrdnb1d0J_P,NA1,JKhGaGYZKLZ_0KfY-oREnwvJge9sfJwxs1FdFh3TUZuU1LmAPyvyDzDZ,/v1/stats/player_history/NA1/2556780042003744,3545
5,100,222,7,4,SOLO,BOTTOM,True,1083,6672,3094,3006,0,0,3340,5.0,3.0,2.0,2.0,2.0,2.0,529.0,1.0,0.0,0.0,0.0,0.0,62773.0,2597.0,55071.0,5105.0,327.0,7448.0,457.0,6658.0,332.0,1764.0,2.0,4891.0,3188.0,3188.0,6.0,8.0,9528.0,2543.0,6902.0,82.0,7836.0,7700.0,0.0,0.0,111.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,4.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8008.0,1.0,10.0,0.0,9111.0,214.0,140.0,0.0,9103.0,0.0,0.0,0.0,8014.0,146.0,0.0,0.0,8275.0,6.0,0.0,0.0,8236.0,14.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5002.0,3659470093.0,NA1,f4zoq6vpV1rds1wU15Q-cpuukeWVXNU2gf4yajFSYVBjlifb_Y_c0cv2,Stookems,txtMkuqfRmbe-fiw_qbnIxOguXy3NrMvD1XZ_iUSroioddJB,NA1,f4zoq6vpV1rds1wU15Q-cpuukeWVXNU2gf4yajFSYVBjlifb_Y_c0cv2,/v1/stats/player_history/NA1/2083759537613792,4804
6,200,51,4,7,DUO_CARRY,BOTTOM,False,1055,3095,3006,1038,1018,1037,3340,4.0,7.0,4.0,2.0,1.0,1.0,286.0,0.0,0.0,0.0,0.0,0.0,62907.0,3898.0,56288.0,2720.0,659.0,11628.0,1301.0,10327.0,0.0,2393.0,2.0,5714.0,2597.0,2597.0,3.0,13.0,13329.0,3952.0,8244.0,1131.0,7614.0,7075.0,1.0,0.0,107.0,0.0,0.0,0.0,47.0,11.0,0.0,0.0,1.0,1.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8021.0,887.0,0.0,0.0,8009.0,757.0,0.0,0.0,9103.0,0.0,0.0,0.0,8014.0,216.0,0.0,0.0,8275.0,7.0,0.0,0.0,8236.0,14.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5002.0,3659470093.0,NA1,UFDBqoG4QGNETWR_ibkf2Etmt6lIeVbkUAyhtkf0g0m107I,You jst died m8,H6A8nysQoCD27rlQQtqyFVpO5P24-x1whK9GBk31d0u7E3A,NA1,UFDBqoG4QGNETWR_ibkf2Etmt6lIeVbkUAyhtkf0g0m107I,/v1/stats/player_history/NA1/206308272,4404
7,200,117,4,14,DUO_SUPPORT,BOTTOM,False,3009,3853,6617,2055,6616,1028,3364,4.0,2.0,4.0,4.0,1.0,1.0,1078.0,0.0,0.0,0.0,0.0,0.0,20254.0,16184.0,3585.0,484.0,0.0,6726.0,5177.0,1184.0,364.0,470.0,1.0,3843.0,697.0,697.0,22.0,26.0,8091.0,2555.0,4979.0,556.0,7245.0,6950.0,0.0,0.0,14.0,0.0,0.0,0.0,235.0,9.0,2.0,0.0,7.0,6.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8214.0,564.0,266.0,0.0,8226.0,250.0,115.0,0.0,8210.0,0.0,0.0,0.0,8237.0,290.0,0.0,0.0,8345.0,3.0,0.0,0.0,8347.0,0.0,0.0,0.0,8200.0,8300.0,5008.0,5008.0,5002.0,3659470093.0,NA1,GXD2i-pJmtP2Zg_qu26w37kSSPD6RLvrnrHfwt_f1od7zZ0,Radrians,JQmlfvxjQ0uKn8yziRjtSUmrmSu-d1l9u8_kBvwFkRTbIaQ,NA1,GXD2i-pJmtP2Zg_qu26w37kSSPD6RLvrnrHfwt_f1od7zZ0,/v1/stats/player_history/NA1/227138077,4658
8,200,62,4,12,DUO,MIDDLE,False,2033,3078,3047,1053,0,0,3340,1.0,8.0,1.0,0.0,1.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,54624.0,14750.0,37856.0,2017.0,0.0,7570.0,1823.0,5614.0,132.0,1188.0,1.0,8993.0,4459.0,4459.0,10.0,7.0,13801.0,1717.0,10039.0,2044.0,6235.0,5833.0,1.0,0.0,100.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,6.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,209.0,0.0,0.0,9111.0,91.0,40.0,0.0,9105.0,0.0,0.0,0.0,8014.0,234.0,0.0,0.0,8126.0,152.0,0.0,0.0,8135.0,1090.0,2.0,0.0,8000.0,8100.0,5005.0,5002.0,5002.0,3659470093.0,NA1,G8HTewO9F-R9P0tpDyN4HwKZ_ti14ftyhfZ9cML53qvv0cX90wxlj8H9,Xzheng007,S4wbnDebrmgrrXZHa9rN8WkAbsWI5KVPw8Vln4l-2lL7uK75,NA1,G8HTewO9F-R9P0tpDyN4HwKZ_ti14ftyhfZ9cML53qvv0cX90wxlj8H9,/v1/stats/player_history/NA1/2192831880563296,4787
